id_projeto,situacao,score_temporal_v2,desc_nome,sistema_resp,natureza_intervencao,especie_intervencao,atraso_observavel_dias,faixa_temporal_v2,score_financeiro_v2,valor_planejado_utilizavel_total,financeiro_comparavel_v2,faixa_financeira_v2,motivo_financeiro,score_fisico_v2,fisico_calculavel_v2,motivo_calculabilidade,percentual_numerico,progresso_linear_esperado,score_situacao_v2,fisico_esperado_v2,tem_temporal,tem_situacao,tem_financeiro,tem_fisico,qtd_componentes_esperados,qtd_componentes_disponiveis,ipi_completo_v2,motivo_completude,ipi_v2,ipi_v2_exibicao,prioridade_A_ipi_v2_estrito,calculavel_A,calculavel_B,prioridade_B_3_componentes,calculavel_C,prioridade_C_2_componentes,tem_temporal_final,tem_situacao_final,tem_financeiro_final,ipi_final_calculavel,ipi_final,contrib_temporal_ipi,contrib_situacao_ipi,contrib_financeiro_ipi,ipi_final_por_pesos,motivo_ipi_final,sinal_fisico_disponivel,posicao_ipi_final,qtd_pins,qtd_pins_coordenada_completa,qtd_pins_validos_sc,qtd_pins_invalidos_ou_fora_sc,qualidade_localizacao,tem_ponto_representativo,indice_pin_representativo,latitude_representativa,longitude_representativa,soma_distancias_medoide_km,apto_localizacao_rota,id_local,id_tarefa,tempo_servico_min,premio_ipi,qtd_projetos_coordenada,coordenada_exclusiva,coordenada_compartilhada,apta_rota_automatica_v1,classe_uso_espacial_v1
130019.42-09,Cadastrada,0,Construção de Unidades Habitacionais,Transferegov.br,Obra,Construção,0.0,sem_atraso_observavel,80.0,3000004.85,True,P75_a_P90,05_com_investimento_utilizavel,,,,,,0,False,True,True,True,False,3,3,True,completo,26.666666666666668,26.67,26.666666666666668,True,True,26.666666666666668,True,0.0,True,True,True,True,26.666666666666668,0.0,0.0,26.666666666666664,26.666666666666664,calculavel,False,1686,1,1,1,0,localizacao_valida,True,0.0,-28.85631,-49.45605,0.0,True,L0106,P_130019.42-09,45.0,26.666666666666668,1,True,False,True,rota_automatica_v1
130075.42-55,Cadastrada,0,Provisão de Unidades Habitacionais em Balneário Gaivota-SC,Transferegov.br,Obra,Construção,0.0,sem_atraso_observavel,80.0,3552271.88,True,P75_a_P90,05_com_investimento_utilizavel,,,,,,0,False,True,True,True,False,3,3,True,completo,26.666666666666668,26.67,26.666666666666668,True,True,26.666666666666668,True,0.0,True,True,True,True,26.666666666666668,0.0,0.0,26.666666666666664,26.666666666666664,calculavel,False,1687,1,1,1,0,localizacao_valida,True,0.0,-29.11149,-49.36439,0.0,True,L0036,P_130075.42-55,45.0,26.666666666666668,1,True,False,True,rota_automatica_v1
130365.42-90,Cadastrada,0,Minha Casa Minha Vida,Transferegov.br,Obra,Construção,0.0,sem_atraso_observavel,80.0,2800000.0,True,P75_a_P90,05_com_investimento_utilizavel,,,,,,0,False,True,True,True,False,3,3,True,completo,26.666666666666668,26.67,26.666666666666668,True,True,26.666666666666668,True,0.0,True,True,True,True,26.666666666666668,0.0,0.0,26.666666666666664,26.666666666666664,calculavel,False,1689,1,1,1,0,localizacao_valida,True,0.0,-27.00982,-51.73382,0.0,True,L1763,P_130365.42-90,45.0,26.666666666666668,1,True,False,True,rota_automatica_v1
130373.42-56,Cadastrada,0,Minha Casa Minha Vida,Transferegov.br,Obra,Construção,0.0,sem_atraso_observavel,80.0,2800000.0,True,P75_a_P90,05_com_investimento_utilizavel,,,,,,0,False,True,True,True,False,3,3,True,completo,26.666666666666668,26.67,26.666666666666668,True,True,26.666666666666668,True,0.0,True,True,True,True,26.666666666666668,0.0,0.0,26.666666666666664,26.666666666666664,calculavel,False,1690,1,1,1,0,localizacao_valida,True,0.0,-27.02168,-51.38716,0.0,True,L1726,P_130373.42-56,45.0,26.666666666666668,1,True,False,True,rota_automatica_v1
130760.42-12,Cadastrada,0,Pavimentação Pico,Transferegov.br,Obra,Construção,0.0,sem_atraso_observavel,80.0,2929834.75,True,P75_a_P90,05_com_investimento_utilizavel,,,,,,0,False,True,True,True,False,3,3,True,completo,26.666666666666668,26.67,26.666666666666668,True,True,26.666666666666668,True,0.0,True,True,True,True,26.666666666666668,0.0,0.0,26.666666666666664,26.666666666666664,calculavel,False,1691,1,1,1,0,localizacao_valida,True,0.0,-26.90061,-49.3555,0.0,True,L2007,P_130760.42-12,45.0,26.666666666666668,1,True,False,True,rota_automatica_v1
131048.42-00,Cadastrada,0,Pavimentação de vias públicas urbanas,Transferegov.br,Obra,Construção,0.0,sem_atraso_observavel,80.0,1788000.0,True,P75_a_P90,05_com_investimento_utilizavel,,,,,,0,False,True,True,True,False,3,3,True,completo,26.666666666666668,26.67,26.666666666666668,True,True,26.666666666666668,True,0.0,True,True,True,True,26.666666666666668,0.0,0.0,26.666666666666664,26.666666666666664,calculavel,False,1692,9,9,9,0,localizacao_valida,True,2.0,-28.75442,-49.44083,6.36170152375731,True,L0154,P_131048.42-00,45.0,26.666666666666668,1,True,False,True,rota_automatica_v1
131070.42-06,Cadastrada,0,"Execução de obras e serviços de engenharia para modernização da infraestrutura turística do Molhe da Barra Sul, em Balneário Camboriú/SC.",Transferegov.br,Obra,Recuperação,0.0,sem_atraso_observavel,80.0,1938876.0,True,P75_a_P90,05_com_investimento_utilizavel,,,,,,0,False,True,True,True,False,3,3,True,completo,26.666666666666668,26.67,26.666666666666668,True,True,26.666666666666668,True,0.0,True,True,True,True,26.666666666666668,0.0,0.0,26.666666666666664,26.666666666666664,calculavel,False,1693,1,1,1,0,localizacao_valida,True,0.0,-27.0042,-48.60378,0.0,True,L1781,P_131070.42-06,45.0,26.666666666666668,1,True,False,True,rota_automatica_v1
132114.42-95,Cadastrada,0,Construção de Unidades Habitacionais,Transferegov.br,Obra,Construção,0.0,sem_atraso_observavel,80.0,3720746.82,True,P75_a_P90,05_com_investimento_utilizavel,,,,,,0,False,True,True,True,False,3,3,True,completo,26.666666666666668,26.67,26.666666666666668,True,True,26.666666666666668,True,0.0,True,True,True,True,26.666666666666668,0.0,0.0,26.666666666666664,26.666666666666664,calculavel,False,1694,1,1,1,0,localizacao_valida,True,0.0,-27.67057,-50.57444,0.0,True,L0600,P_132114.42-95,45.0,26.666666666666668,1,True,False,True,rota_automatica_v1
133442.42-23,Cadastrada,0,Pavimentção RM Mario Tiscoski (trecho),Transferegov.br,Obra,Construção,0.0,sem_atraso_observavel,80.0,4780000.0,True,P75_a_P90,05_com_investimento_utilizavel,,,,,,0,False,True,True,True,False,3,3,True,completo,26.666666666666668,26.67,26.666666666666668,True,True,26.666666666666668,True,0.0,True,True,True,True,26.666666666666668,0.0,0.0,26.666666666666664,26.666666666666664,calculavel,False,1695,1,1,1,0,localizacao_valida,True,0.0,-28.7771,-49.51361,0.0,True,L0147,P_133442.42-23,45.0,26.666666666666668,1,True,False,True,rota_automatica_v1
133854.42-20,Cadastrada,0,Elaboração de projetos básicos e executivos de engenharia na BR-282/SC,CIPI,Projeto,Recuperação,0.0,sem_atraso_observavel,80.0,2955279.66,True,P75_a_P90,05_com_investimento_utilizavel,,,,,,0,False,True,True,True,False,3,3,True,completo,26.666666666666668,26.67,26.666666666666668,True,True,26.666666666666668,True,0.0,True,True,True,True,26.666666666666668,0.0,0.0,26.666666666666664,26.666666666666664,calculavel,False,1696,1,1,1,0,localizacao_valida,True,0.0,-27.7077377066166,-48.84430345,0.0,True,L0552,P_133854.42-20,45.0,26.666666666666668,1,True,False,True,rota_automatica_v1
